Filters;SSIM
No filter;0.9995
median;0.9396
Lee;0.9831
Frost;0.9399
Kuan;0.9834
bilateral;0.9626
gamma_MAP;0.9951
anisotropic diffusion exp g;0.9992
anisotropic diffusion quad g;0.9912
