Filters;SSIM
No filter;0.4915
median;0.5201
Lee;0.7247
Frost;0.6816
Kuan;0.2928
bilateral;0.6541
gamma_MAP;0.6801
anisotropic diffusion exp g;0.6614
anisotropic diffusion quad g;0.6745
