Filters;SSIM
No filter;0.4914
median;0.5197
Lee;0.7245
Frost;0.5864
Kuan;0.3051
bilateral;0.6536
gamma_MAP;0.6815
anisotropic diffusion exp g;0.6606
anisotropic diffusion quad g;0.6741
