Filters;SSIM
No filter;0.9853
median;0.9998
Lee;0.9626
Frost;0.9995
Kuan;0.9993
bilateral;0.9882
gamma_MAP;0.9994
anisotropic diffusion exp g;0.9991
anisotropic diffusion quad g;0.9986
