Filters;SSIM
No filter;0.5469
median;0.5059
Lee;0.7226
Frost;0.5345
Kuan;0.5997
bilateral;0.5817
gamma_MAP;0.6709
anisotropic diffusion exp g;0.6252
anisotropic diffusion quad g;0.5750
