Filters;SSIM
No filter;0.7310
median;0.9897
Lee;0.9040
Frost;0.9265
Kuan;0.8730
bilateral;0.8593
gamma_MAP;0.9471
anisotropic diffusion exp g;0.9839
anisotropic diffusion quad g;0.9484
