Filters,SSIM
No filter,0.80670772333733
median,0.266182078287158
Lee,0.687466650682517
Frost,0.847632614002937
Kuan,0.0390434070608159
bilateral,0.430105841119767
gamma_MAP,0.489679302715038
anisotropic diffusion exp g,0.370479727067732
anisotropic diffusion quad g,0.370186031760901
