Filters;SSIM
No filter;0.4910
median;0.5202
Lee;0.7251
Frost;0.7113
Kuan;0.3002
bilateral;0.6540
gamma_MAP;0.6817
anisotropic diffusion exp g;0.6614
anisotropic diffusion quad g;0.6745
