Filters;SSIM
No filter;0.9945
median;0.2703
Lee;0.6870
Frost;0.9170
Kuan;-0.0100
bilateral;0.7570
gamma_MAP;0.5051
anisotropic diffusion exp g;0.8504
anisotropic diffusion quad g;0.8958
