Filters;SSIM
No filter;0.7252
median;0.6141
Lee;0.7489
Frost;0.6415
Kuan;0.5383
bilateral;0.6733
gamma_MAP;0.7526
anisotropic diffusion exp g;0.7010
anisotropic diffusion quad g;0.6612
