Filters;SSIM
No filter;0.6797
median;0.6252
Lee;0.7576
Frost;0.8124
Kuan;0.3154
bilateral;0.7129
gamma_MAP;0.7568
anisotropic diffusion exp g;0.7207
anisotropic diffusion quad g;0.7316
