Filters;SSIM
No filter;0.6795
median;0.6251
Lee;0.7575
Frost;0.7019
Kuan;0.3225
bilateral;0.7130
gamma_MAP;0.7578
anisotropic diffusion exp g;0.7212
anisotropic diffusion quad g;0.7317
