Filters,SSIM
No filter,0.988677174598611
median,0.800477617721727
Lee,0.859625587599708
Frost,0.972578046102441
Kuan,0.995946896502245
bilateral,0.944214531236882
gamma_MAP,0.996982503304271
anisotropic diffusion exp g,0.98721629158586
anisotropic diffusion quad g,0.991015487999393
