Filters;SSIM
No filter;0.275099099
median;0.9662
Lee;0.9470
Frost;0.9801
Kuan;0.8950
bilateral;0.9555
gamma_MAP;0.8997
anisotropic diffusion exp g;0.9573
anisotropic diffusion quad g;0.9619
