Filters;SSIM
No filter;0.8318
median;0.2574
Lee;0.6818
Frost;0.3335
Kuan;0.3649
bilateral;0.3467
gamma_MAP;0.4929
anisotropic diffusion exp g;0.5963
anisotropic diffusion quad g;0.3838
