Filters;SSIM
No filter;0.9825
median;0.9901
Lee;0.9773
Frost;0.9983
Kuan;0.9987
bilateral;0.9917
gamma_MAP;0.9990
anisotropic diffusion exp g;0.9991
anisotropic diffusion quad g;0.9982
