Filters;SSIM
No filter;0.8059
median;0.2666
Lee;0.6881
Frost;0.5067
Kuan;0.0339
bilateral;0.4306
gamma_MAP;0.4869
anisotropic diffusion exp g;0.5556
anisotropic diffusion quad g;0.5757
