Filters;SSIM
No filter;0.9549
median;0.9978
Lee;0.9679
Frost;0.9934
Kuan;0.9949
bilateral;0.9895
gamma_MAP;0.9957
anisotropic diffusion exp g;0.9976
anisotropic diffusion quad g;0.9956
